광역시도,기초지자체,아프리카 국가,아프리카 지자체,교류연도,교류유형,주요내용
경기도,화성시,에티오피아,,2019,경제통상교류,2019 화성시_아프리카 비즈니스협력 세미나 개최
경기도,화성시,남아프리카공화국,,2019,행정 인적교류,화성시  2019 화성시_아프리카 교류활성화 라운드테이블 개최
경기도,화성시,케냐,,2019,행정 인적교류,화성시  2019 화성시_아프리카 교류활성화 라운드테이블 개최
경기도,본청,모로코,,2018,행정 인적교류,김진흥 부지사  모로코 방문
경기도,본청,보츠와나,,2018,행정 인적교류,보츠와나 정보통신부 차관보 등 보츠와나 방문단  경기도 방문
경기도,본청,케냐,,2018,경제통상교류,경기도  케냐 나이로비에 경기비즈니스센터(GBC) 신설
경기도,광명시,에티오피아,오로미아주,2017,행정 인적교류,에티오피아 오로미아주 시장단  광명시 방문
경기도,포천시,모잠비크,,2016,기타,경기도 포천시  유기질 비료 5만포를 모잠비크에 지원
경기도,수원시,모로코,페즈시,2015,행정 인적교류,염태영 수원시장  국제자매도시 초청으로 모로코 페즈시 방문
경기도,수원시,모로코,페즈시,2014,행정 인적교류,수원시 대표단  모로코 페즈시가 개최한 제2차 페즈 자매도시 국제 포럼에 초청 받아 페즈시 방문
경기도,본청,남아프리카공화국,,2013,협약체결,경기도_남아공 해양협회 간 상호 국제협력을 위한 업무협약(MOU) 체결
경기도,본청,가나,,2013,기타,경기도  가나에 스라파 코코도_경기 메디컬 센터 건립
경기도,본청,짐바브웨,,2013,기타,경기도  짐바브웨의 취약계층 아동 및 청소년을 위한 경기 희망미래센터 건립
경기도,본청,가나,,2013,협약체결,경기도  가나와 의료관련 민관협력 업무협약 체결
경기도,본청,알제리,,2012,경제통상교류,경기도  아프리카 3개국(이집트  알제리  케냐)에 통상촉진단 파견
경기도,본청,이집트,,2012,경제통상교류,경기도  아프리카 3개국(이집트  알제리  케냐)에 통상촉진단 파견
경기도,본청,케냐,,2012,경제통상교류,경기도  아프리카 3개국(이집트  알제리  케냐)에 통상촉진단 파견
경기도,본청,남아프리카공화국,하우텡주청,2012,행정 인적교류,하우텡주 에쿨라니시 대표단  병원건립 및 신도시 프로젝트사업 관련하여 경기도 방문
경기도,본청,말라위,,2012,협약체결,경기도와 말라위 보건부 간 보건의료 분야 협력 MOU 체결
경기도,본청,짐바브웨,,2012,기타,경기도  남아프리카공화국  말라위  짐바브웨 지역에서 의료봉사 실시
경기도,본청,말라위,,2012,기타,경기도  남아프리카공화국  말라위  짐바브웨 지역에서 의료봉사 실시
경기도,본청,말라위,,2012,기타,경기도  말라위  남아프리카공화국  짐바브웨 지역에서 의료봉사 실시
경기도,파주시,남아프리카공화국,스텔렌보쉬시,2011,기타,파주시  스텔렌보쉬 복지센터에 전산장비 지원
경기도,본청,남아프리카공화국,하우텡주,2010,행정 인적교류,경기도의회 대표단 하우텡주 방문
경기도,본청,이집트,,2009,경제통상교류,경기도  이집트 가공기계 박람회(MACTECH 2009) 참가 지원
경기도,본청,나이지리아,,2009,경제통상교류,남아공과 나이지리아에 2009 아프리카 종합 통상 촉진단 파견
경기도,본청,남아프리카공화국,,2009,경제통상교류,남아공과 나이지리아에 2009 아프리카 종합 통상 촉진단 파견
경기도,파주시,남아프리카공화국,스텔렌보쉬시,2009,협약체결,파주시_남아공 스텔렌보쉬시 자매결연 체결
경기도,평택시,나이지리아,,2008,경제통상교류,평택시  국제화중심도시 전략위원회 창립식 및 고덕국제신도시 투자설명회
경기도,수원시,모로코,페즈시,2008,문화 예술교류,페즈시 대표단  제45회 화성문화제에 참가
경기도,본청,남아프리카공화국,하우텡주,2007,행정 인적교류,남아공 하우텡주의회 대표단 경기도 방문
경기도,파주시,남아프리카공화국,스텔렌보쉬시,2007,협약체결,파주시_남아공 스텔렌보쉬시 자매결연의향서 교환
경기도,본청,모로코,,2007,행정 인적교류,경기도  이집트  수단  모로코 대사 초청 경기도 설명회 개최
경기도,본청,수단,,2007,행정 인적교류,경기도  이집트  수단  모로코 대사 초청 경기도 설명회 개최
경기도,본청,이집트,,2007,행정 인적교류,경기도  이집트  수단  모로코 대사 초청 경기도 설명회 개최
